model,oof_auc_roc
Logistic Regression,0.7424460407317378
XGBoost 5-fold,0.789096824371422
LightGBM 5-fold,0.7887156414136556
XGBoost Tuned,0.7849953076728727
LightGBM Tuned,0.7865496737279961
CatBoost,0.7813604467670259
Ensemble,0.7868221015123381
